X,Y,Index_,Event_Unique_Id,Occurrence_year,Division,Homicide_Type,Occurrence_Date,Hood_ID,Neighbourhood,Long,Lat,ObjectId
-8842700.08027951,5412958.38091445,83,739574,2005,D14,Shooting,2005/05/05 04:00:00+00,83,Dufferin Grove (83),-79.43532635,43.65988369,90
-8851604.55751752,5427638.82565709,84,737037,2005,D31,Stabbing,2005/05/05 04:00:00+00,25,Glenfield-Jane Heights (25),-79.51531663,43.75521416,91
-8832281.90620917,5415987.5910614,85,756176,2005,D54,Shooting,2005/05/08 04:00:00+00,69,Blake-Jones (69),-79.3417383,43.6795669,92
-8836719.10222539,5414110.83499082,86,1001532,2005,D51,Shooting,2005/05/14 04:00:00+00,75,Church-Yonge Corridor (75),-79.38159831,43.66737287,93
-8821582.59810442,5431866.20566864,87,863844,2005,D41,Shooting,2005/05/15 04:00:00+00,137,Woburn (137),-79.24562478,43.7826374,94
-8815458.94853812,5428177.07950572,88,988453,2005,D42,Shooting,2005/05/18 04:00:00+00,136,West Hill (136),-79.1906151,43.75870654,95
-8850972.67246554,5425243.99550587,89,781084,2005,D31,Stabbing,2005/05/27 04:00:00+00,25,Glenfield-Jane Heights (25),-79.50964031,43.73967319,96
-8827065.70084916,5417550.22449389,90,760646,2005,D55,Shooting,2005/06/12 04:00:00+00,62,East End-Danforth (62),-79.29488033,43.68971806,97
-8852329.64926594,5429419.98676118,91,1000509,2005,D31,Shooting,2005/06/24 04:00:00+00,24,Black Creek (24),-79.52183024,43.76677018,98
-8843329.65879164,5422232.93971705,92,834756,2005,D32,Stabbing,2005/06/25 04:00:00+00,32,Englemount-Lawrence (32),-79.44098195,43.72012757,99
-8843013.96228172,5413965.47115439,93,1086009,2005,D14,Shooting,2005/06/29 04:00:00+00,93,Dovercourt-Wallace Emerson-Junction (93),-79.438146,43.66642828,100
-8857533.87776194,5426257.2563336,94,884293,2005,D23,Shooting,2005/07/06 04:00:00+00,3,Thistletown-Beaumond Heights (3),-79.56858062,43.74624912,101
-8824573.65040811,5418305.44832436,95,863854,2005,D41,Other,2005/07/17 04:00:00+00,121,Oakridge (121),-79.27249386,43.69462352,102
-8847906.94482104,5416151.64717462,96,1059962,2005,D12,Shooting,2005/07/19 04:00:00+00,111,Rockcliffe-Smythe (111),-79.48210041,43.68063272,103
-8830508.50211802,5425813.49869926,97,1070618,2005,D33,Other,2005/07/20 04:00:00+00,45,Parkwoods-Donalda (45),-79.32580754,43.74336928,104
-8815573.09665718,5429890.45734173,98,1150352,2005,D42,Other,2005/07/15 04:00:00+00,136,West Hill (136),-79.19164051,43.76982218,105
-8843329.65879164,5422232.93971705,99,1135001,2005,D31,Shooting,2005/07/30 04:00:00+00,32,Englemount-Lawrence (32),-79.44098195,43.72012757,106
-8829385.9908819,5434045.97237512,100,1033503,2005,D42,Shooting,2005/07/30 04:00:00+00,117,L'Amoreaux (117),-79.31572385,43.79677275,107
-8824588.31897741,5421838.29098677,408,3575026,2009,D41,Other,2009/09/12 04:00:00+00,120,Clairlea-Birchmount (120),-79.27262563,43.71756532,108
-8842635.07748925,5408969.08588111,409,3528405,2009,D14,Shooting,2009/10/10 04:00:00+00,85,South Parkdale (85),-79.43474242,43.63395219,109
-8836230.09907942,5411540.55204278,410,3464087,2009,D51,Other,2009/10/18 04:00:00+00,75,Church-Yonge Corridor (75),-79.37720552,43.6506687,110
-8848513.72621465,5426774.81203754,411,3524643,2009,D31,Shooting,2009/10/18 04:00:00+00,27,York University Heights (27),-79.48755122,43.74960771,111
-8842212.32836462,5415241.99150013,412,3425603,2009,D13,Shooting,2009/10/30 04:00:00+00,94,Wychwood (94),-79.4309448,43.67472274,112
-8832793.93356541,5415962.75862996,413,3588501,2009,D54,Shooting,2009/11/02 05:00:00+00,67,Playter Estates-Danforth (67),-79.34633792,43.67940557,113
-8849753.3644794,5427056.00113947,414,3454028,2009,D31,Shooting,2009/11/03 05:00:00+00,27,York University Heights (27),-79.49868708,43.75143236,114
-8838667.9291361,5414929.1557786,415,3586765,2009,D53,Stabbing,2009/11/04 05:00:00+00,95,Annex (95),-79.39910492,43.67269013,115
-8833680.14914481,5413753.03345232,416,3593532,2009,D55,Other,2009/11/07 05:00:00+00,70,South Riverdale (70),-79.35429893,43.66504781,116
-8839595.13700479,5413886.35370922,417,3411009,2009,D14,Stabbing,2009/11/07 05:00:00+00,79,University (79),-79.40743417,43.66591416,117
-8833680.14914481,5413753.03345232,418,3593574,2010,D55,Other,2010/01/02 05:00:00+00,70,South Riverdale (70),-79.35429893,43.66504781,118
-8843093.83846915,5417830.8232113,419,3425609,2009,D13,Shooting,2009/11/11 05:00:00+00,107,Oakwood Village (107),-79.43886354,43.6915407,119
-8855532.11398057,5417321.13821504,420,2776015,2009,D23,Shooting,2009/11/17 05:00:00+00,6,Kingsview Village-The Westway (6),-79.55059847,43.68822998,120
-8837396.58819357,5413844.91319382,421,3358995,2009,D52,Shooting,2009/11/22 05:00:00+00,76,Bay Street Corridor (76),-79.38768427,43.66564487,121
-8823901.84062075,5429754.62422411,422,3577507,2009,D41,Shooting,2009/11/22 05:00:00+00,127,Bendale (127),-79.26645889,43.76894103,122
-8850424.67889502,5421557.47956179,423,3687835,2009,D31,Shooting,2009/12/03 05:00:00+00,28,Rustic (28),-79.5047176,43.71574209,123
-8835844.06646245,5414098.85295627,424,3574569,2009,D51,Other,2009/12/05 05:00:00+00,71,Cabbagetown-South St.James Town (71),-79.37373773,43.66729501,124
-8857625.07068879,5427866.7549221,425,3567900,2009,D31,Shooting,2009/12/06 05:00:00+00,21,Humber Summit (21),-79.56939982,43.75669307,125
-8852543.4628383,5419498.89152994,426,3574814,2009,D31,Shooting,2009/12/07 05:00:00+00,113,Weston (113),-79.52375096,43.70237456,126
-8852460.58213782,5421859.75075683,427,3565736,2009,D31,Shooting,2009/12/09 05:00:00+00,26,Downsview-Roding-CFB (26),-79.52300643,43.71770465,127
-8817746.75109067,5436372.32924798,428,3566324,2010,D42,Shooting,2010/01/07 05:00:00+00,132,Malvern (132),-79.21116678,43.81185502,128
-8849741.00912911,5413838.96543559,429,3391807,2009,D11,Stabbing,2009/12/13 05:00:00+00,114,Lambton Baby Point (114),-79.49857609,43.66560622,129
-8838558.70245174,5411477.855574,430,3583884,2010,D14,Other,2010/01/24 05:00:00+00,78,Kensington-Chinatown (78),-79.39812372,43.65026118,130
-8829533.1185133,5428687.93479616,431,3281627,2010,D41,Stabbing,2010/01/27 05:00:00+00,45,Parkwoods-Donalda (45),-79.31704552,43.76202096,131
-8838562.60531309,5412708.5654079,432,3591551,2009,D52,Other,2009/12/18 05:00:00+00,78,Kensington-Chinatown (78),-79.39815878,43.65826015,132
-8847552.8876146,5413832.44675853,433,3543317,2009,D11,Shooting,2009/12/29 05:00:00+00,90,Junction Area (90),-79.47891986,43.66556386,133
-8835907.68889102,5413425.04780275,434,3367693,2010,D51,Stabbing,2010/02/03 05:00:00+00,73,Moss Park (73),-79.37430926,43.66291642,134
-8838727.14331284,5411140.21243422,435,3922539,2011,D14,Stabbing,2011/01/01 05:00:00+00,77,Waterfront Communities-The Island (77),-79.39963685,43.64806649,135
-8825282.57522688,5424194.56005828,436,2885827,2011,D41,Shooting,2011/01/05 05:00:00+00,119,Wexford/Maryvale (119),-79.27886224,43.73286173,136
-8815913.81110945,5428686.54911905,437,3737551,2011,D43,Other,2011/01/06 05:00:00+00,136,West Hill (136),-79.1947012,43.76201197,137
-8838385.31566566,5415242.26546169,438,4040426,2011,D53,Other,2011/01/12 05:00:00+00,95,Annex (95),-79.39656616,43.67472452,138
-8843049.02792132,5419844.76767378,439,4033175,2011,D13,Other,2011/01/13 05:00:00+00,102,Forest Hill North (102),-79.438461,43.70462073,139
-8836352.70747978,5413943.43417246,440,3832781,2011,D51,Other,2011/01/23 05:00:00+00,75,Church-Yonge Corridor (75),-79.37830693,43.66628508,140
-8850186.03884982,5418889.80055589,441,3713412,2010,D12,Shooting,2010/02/07 05:00:00+00,30,Brookhaven-Amesbury (30),-79.50257386,43.69841883,141
-8855358.11827687,5426935.37225326,442,3966773,2011,D31,Shooting,2011/02/01 05:00:00+00,22,Humbermede (22),-79.54903544,43.7506496,142
-8848513.72621465,5426774.81203754,443,3530271,2011,D31,Stabbing,2011/02/05 05:00:00+00,27,York University Heights (27),-79.48755122,43.74960771,143
-8848032.39075522,5418118.58184642,444,4017505,2011,D12,Shooting,2011/02/11 05:00:00+00,112,Beechborough-Greenbrook (112),-79.48322731,43.69340979,144
-8818859.10108366,5428315.44176544,445,3948450,2011,D43,Shooting,2011/02/11 05:00:00+00,137,Woburn (137),-79.22115919,43.75960425,145
-8850948.51947562,5418718.27294126,446,4017400,2011,D12,Shooting,2011/02/16 05:00:00+00,113,Weston (113),-79.50942334,43.6973048,146
-8818465.57109898,5434253.85923762,447,3996966,2011,D42,Shooting,2011/02/26 05:00:00+00,132,Malvern (132),-79.21762405,43.79812068,147
-8850062.66902415,5413728.15009001,448,4010034,2011,D11,Shooting,2011/03/02 05:00:00+00,114,Lambton Baby Point (114),-79.50146561,43.66488611,148
-8841864.62304832,5414087.43418106,449,4029641,2011,D14,Other,2011/03/03 05:00:00+00,93,Dovercourt-Wallace Emerson-Junction (93),-79.42782131,43.66722081,149
-8855701.26060724,5418486.33549972,450,3973677,2011,D23,Shooting,2011/03/20 04:00:00+00,6,Kingsview Village-The Westway (6),-79.55211794,43.69579839,150
-8842912.56024436,5409426.48399243,451,3914456,2011,D11,Other,2011/03/21 04:00:00+00,85,South Parkdale (85),-79.43723509,43.63692597,151
-8822689.60587506,5424535.32931042,452,3981811,2011,D41,Shooting,2011/03/28 04:00:00+00,124,Kennedy Park (124),-79.2555692,43.73507361,152
-8829033.0836058,5414090.97369208,453,3736070,2011,D55,Shooting,2011/03/28 04:00:00+00,63,The Beaches (63),-79.31255363,43.66724381,153
-8850192.39296636,5429205.7271227,454,3985830,2011,D31,Other,2011/04/15 04:00:00+00,27,York University Heights (27),-79.50263094,43.7653802,154
-8830410.26378059,5417070.05320099,455,3942884,2011,D54,Other,2011/04/06 04:00:00+00,66,Danforth (66),-79.32492505,43.68659896,155
-8856539.83589736,5421184.48578414,456,3832638,2011,D23,Shooting,2011/04/30 04:00:00+00,1,West Humber-Clairville (1),-79.55965099,43.71332026,156
-8831127.73793626,5433480.54993993,457,3985926,2011,D42,Shooting,2011/05/26 04:00:00+00,46,Pleasant View (46),-79.33137023,43.79310642,157
-8850424.67889502,5421557.47956179,458,3448094,2010,D31,Shooting,2010/02/08 05:00:00+00,28,Rustic (28),-79.5047176,43.71574209,158
-8860228.10554898,5425152.61700569,459,4047557,2011,D23,Shooting,2011/05/29 04:00:00+00,1,West Humber-Clairville (1),-79.59278328,43.73908012,159
-8828595.02471161,5413536.5812217,460,3593600,2010,D55,Other,2010/02/15 05:00:00+00,70,South Riverdale (70),-79.30861848,43.66364122,160
-8820722.22868439,5425006.78799572,461,3456178,2010,D43,Other,2010/02/14 05:00:00+00,138,Eglinton East (138),-79.23789595,43.73813364,161
-8851730.69585893,5427222.00482227,462,3582659,2011,D31,Shooting,2011/06/16 04:00:00+00,25,Glenfield-Jane Heights (25),-79.51644975,43.75250954,162
