Hood#,Total Population,Child0-14,Youth15-24,Seniors65,  Total visible minority population,    South Asian,    Chinese,    Black,    Filipino,    Latin American,    Arab,    Southeast Asian,    West Asian,    Korean,    Japanese,"    Visible minority, n.i.e.",    Multiple visible minorities,  Not a visible minority,Total - Mobility status 5 years ago,  Non-movers,  Movers,Total recent immigrant population in private households by selected places of birth,Middle East/Western Asia,Eastern,South East,Southern,    Other places of birth in Asia,Americas w/o USA,  Europe,  Africa,Total population aged 15 years and over by labour force status ,  In the labour force ,    Unemployed,  Not in the labour force,"  No certificate, diploma or degree","    College, CEGEP or other non-university certificate or diploma",    University certificate or diploma below bachelor level,Total number of private households by tenure,  Owner,  Renter,  % of owner households spending 30% or more of household total income on shelter costs,  Major repairs needed,  Average monthly shelter costs for rented dwellings ($),  Average after-tax family income $ (Family income in 2010 of economic families),Household income in 2010 of private households,  Median household total income $,  Median after-tax household income $
112,6490,1240,870,775,3475,615,35,1780,220,445,20,130,15,30,0,100,80,2975,6000,3975,2020,520,90,0,55,0,0,230,20,90,5215,3150,360,2065,1630,855,150,2665,905,1765,28.2,190,749,58706,2665,41175,37540
113,18170,3195,2370,2235,4965,445,175,1610,230,1005,90,1020,0,50,0,100,205,7030,16620,9215,7400,1070,0,20,115,95,0,325,80,375,14725,9585,955,5140,3995,2835,545,7905,3090,4815,34.4,800,874,61470,7905,45119,41356
114,7920,1625,880,910,1720,90,140,1025,25,230,10,35,40,0,0,25,80,6110,7265,4930,2335,240,0,0,0,0,0,60,55,70,6265,4210,215,2060,945,900,230,3160,1920,1240,13.5,445,814,122277,3160,69525,58158
115,13150,2445,1880,1485,8270,660,310,3570,700,1575,20,405,75,210,0,425,315,4585,12040,7165,4875,1175,0,0,200,0,0,545,140,140,10390,6780,920,3610,2855,1955,305,4875,2470,2410,39.9,415,896,57386,4880,46811,43790
116,25010,3010,3490,4545,22050,1820,17420,560,715,60,340,255,145,100,85,45,495,2655,23750,15575,8180,2745,20,2395,95,50,50,45,0,55,21680,12115,1355,9565,4545,3045,1495,7685,6585,1095,31.9,320,1155,67732,7680,60946,55755
117,44915,6705,6195,7745,34310,8315,16480,3290,1625,265,830,465,1030,365,120,555,965,10275,42340,27045,15300,4355,370,2325,300,905,35,165,60,145,37900,21770,2315,16130,8430,5525,2550,14915,10125,4790,33.5,1070,919,64493,14920,53644,49769
118,27390,4210,3325,5560,19640,4795,9450,1350,1350,300,455,220,745,185,90,220,485,7380,25560,15170,10395,3080,95,1470,420,740,50,65,50,115,22835,12580,1240,10250,4165,3690,1425,9805,5700,4110,31,645,964,64630,9810,49720,46095
119,27020,4280,3450,4600,12805,3640,1550,1500,3335,500,625,165,355,275,90,470,295,13920,25290,16920,8370,1750,60,110,755,350,65,155,95,70,22410,13915,1400,8500,4790,3620,1230,9970,6320,3655,21.5,880,904,69418,9975,58939,53752
120,24775,4245,3160,3150,13390,4730,2010,2145,2640,300,185,280,270,50,70,310,400,10720,22605,12390,10220,2110,0,110,525,810,100,170,170,130,19940,12970,1255,6975,3795,3555,950,8750,5770,2980,27.9,550,890,69549,8755,59224,53716
121,13505,2870,1660,1495,9125,4325,760,2085,900,170,145,235,250,0,40,45,165,4150,12215,6310,5905,2575,50,40,130,1740,50,110,190,155,10405,6040,1040,4370,2330,1690,490,5225,1600,3630,27.2,790,730,50793,5230,33980,32079
122,21860,3215,2570,3305,4430,1080,1125,680,600,235,95,75,65,55,110,140,170,16870,20240,13855,6390,495,0,55,55,145,0,35,120,0,18095,12215,1295,5875,3120,3485,760,9185,6170,3015,21.6,1050,849,90256,9190,64701,57017
123,15700,2650,2110,2410,5545,2040,830,695,645,215,145,75,170,45,85,260,335,9960,14730,9805,4925,640,45,35,70,300,0,125,0,20,12890,7905,720,4980,2380,2095,910,5825,4070,1755,23.1,580,839,83694,5820,68647,60384
124,17050,2930,2210,2280,11185,3855,1255,2245,2185,180,70,475,255,40,30,210,385,5795,15980,10180,5805,1355,0,30,430,510,0,80,55,190,14005,7855,935,6150,3100,2580,575,6530,3670,2870,32.5,715,742,58513,6530,44226,41776
